dy,y
2007/4/1,99.22
2007/5/1,100.78
2007/6/1,104.4
2007/7/1,101
2007/8/1,94.78
2007/9/1,101.91
2007/10/1,107.37
2007/11/1,98.11
2007/12/1,98.93
2008/1/1,95.34
2008/2/1,96.78
2008/3/1,91.03
2008/4/1,98.06
2008/5/1,100.76
2008/6/1,101.81
2008/7/1,101.68
2008/8/1,93.44
2008/9/1,84.09
2008/10/1,65.45
2008/11/1,62.59
2008/12/1,62.45
2009/1/1,57.08
2009/2/1,62.4
2009/3/1,68.41
2009/4/1,71.65
2009/5/1,76.24
2009/6/1,77.72
2009/7/1,79.07
2009/8/1,78.59
2009/9/1,79.21
2009/10/1,80.99
2009/11/1,79.02
2009/12/1,83.18
2010/1/1,79.86
2010/2/1,79.55
2010/3/1,85.7
2010/4/1,86.88
2010/5/1,77.18
2010/6/1,74.32
2010/7/1,78.13
2010/8/1,74.96
2010/9/1,80.69
2010/10/1,78.83
2010/11/1,80.2
2010/12/1,82.7
2011/1/1,81.75
2011/2/1,83.29
2011/3/1,85.91
2011/4/1,88.88
2011/5/1,86.95
2011/6/1,86.32
2011/7/1,84.58
2011/8/1,82
2011/9/1,74.64
2011/10/1,82.26
2011/11/1,79.77
2011/12/1,78.62
2012/1/1,80.97
2012/2/1,87.1
2012/3/1,85.82
2012/4/1,83.23
2012/5/1,76.24
2012/6/1,81.77
2012/7/1,82.07
2012/8/1,80.89
2012/9/1,80.88
2012/10/1,82.76
2012/11/1,85.94
2012/12/1,89.6
2013/1/1,95.32
2013/2/1,94.52
2013/3/1,98.09
2013/4/1,101
2013/5/1,96.1
2013/6/1,90.6
2013/7/1,87.93
2013/8/1,87.33
2013/9/1,91.57
2013/10/1,92.97
2013/11/1,93.27
2013/12/1,93.93
2014/1/1,89.29
2014/2/1,90.95
2014/3/1,95.64
2014/4/1,94.92
2014/5/1,94.72
2014/6/1,95.55
2014/7/1,95.52
2014/8/1,97.15
2014/9/1,95.9
2014/10/1,98.84
2014/11/1,100.98
2014/12/1,97.93
2015/1/1,91.26
2015/2/1,93.46
2015/3/1,91.34
2015/4/1,94.33
2015/5/1,94.85
2015/6/1,94.34
2015/7/1,90.49
2015/8/1,86.21
2015/9/1,84.11
2015/10/1,86.03
2015/11/1,88.95
2015/12/1,87.6
2016/1/1,85.72
2016/2/1,80.44
2016/3/1,86.19
2016/4/1,80.91
2016/5/1,80.07
2016/6/1,76.85
2016/7/1,77.6
2016/8/1,77.73
2016/9/1,77.65
2016/10/1,79.73
2016/11/1,84.46
2016/12/1,84.28
2017/1/1,85.54
2017/2/1,86.3
2017/3/1,84.98
2017/4/1,83.42
2017/5/1,82.29
2017/6/1,86.42
2017/7/1,88.18
2017/8/1,87.35
2017/9/1,88.17
2017/10/1,86.97
2017/11/1,85.1
2017/12/1,87.9
2018/1/1,87.94
2018/2/1,82.8
2018/3/1,81.63
2018/4/1,82.3
2018/5/1,82.32
2018/6/1,81.97
2018/7/1,83.06
2018/8/1,79.91
2018/9/1,82.05
2018/10/1,79.89
2018/11/1,81.63
