dy,y
2007/4/1,0.8301
2007/5/1,0.8279
2007/6/1,0.8493
2007/7/1,0.8516
2007/8/1,0.8179
2007/9/1,0.8879
2007/10/1,0.9341
2007/11/1,0.8844
2007/12/1,0.8752
2008/1/1,0.8957
2008/2/1,0.9308
2008/3/1,0.9131
2008/4/1,0.9436
2008/5/1,0.9557
2008/6/1,0.9586
2008/7/1,0.9423
2008/8/1,0.8587
2008/9/1,0.7924
2008/10/1,0.6643
2008/11/1,0.655
2008/12/1,0.6877
2009/1/1,0.6354
2009/2/1,0.6394
2009/3/1,0.6912
2009/4/1,0.7262
2009/5/1,0.8004
2009/6/1,0.8063
2009/7/1,0.836
2009/8/1,0.8444
2009/9/1,0.8821
2009/10/1,0.9003
2009/11/1,0.9156
2009/12/1,0.8969
2010/1/1,0.8851
2010/2/1,0.8962
2010/3/1,0.9168
2010/4/1,0.9252
2010/5/1,0.8457
2010/6/1,0.8402
2010/7/1,0.9047
2010/8/1,0.8911
2010/9/1,0.9666
2010/10/1,0.9792
2010/11/1,0.9588
2010/12/1,1.0178
2011/1/1,0.9969
2011/2/1,1.018
2011/3/1,1.0322
2011/4/1,1.096
2011/5/1,1.0667
2011/6/1,1.0711
2011/7/1,1.0981
2011/8/1,1.07
2011/9/1,0.9673
2011/10/1,1.0531
2011/11/1,1.0279
2011/12/1,1.0212
2012/1/1,1.0618
2012/2/1,1.0727
2012/3/1,1.0356
2012/4/1,1.0428
2012/5/1,0.973
2012/6/1,1.0245
2012/7/1,1.0503
2012/8/1,1.0327
2012/9/1,1.0377
2012/10/1,1.0375
2012/11/1,1.0424
2012/12/1,1.0377
2013/1/1,1.0434
2013/2/1,1.0213
2013/3/1,1.0415
2013/4/1,1.0369
2013/5/1,0.9576
2013/6/1,0.9138
2013/7/1,0.8982
2013/8/1,0.8895
2013/9/1,0.9322
2013/10/1,0.9453
2013/11/1,0.9106
2013/12/1,0.8924
2014/1/1,0.8751
2014/2/1,0.8929
2014/3/1,0.9262
2014/4/1,0.9286
2014/5/1,0.9308
2014/6/1,0.943
2014/7/1,0.9292
2014/8/1,0.9334
2014/9/1,0.8746
2014/10/1,0.8795
2014/11/1,0.8508
2014/12/1,0.8167
2015/1/1,0.7768
2015/2/1,0.7811
2015/3/1,0.7604
2015/4/1,0.7901
2015/5/1,0.7643
2015/6/1,0.7702
2015/7/1,0.7303
2015/8/1,0.7112
2015/9/1,0.7014
2015/10/1,0.7132
2015/11/1,0.7225
2015/12/1,0.7288
2016/1/1,0.7082
2016/2/1,0.7138
2016/3/1,0.7657
2016/4/1,0.7608
2016/5/1,0.7231
2016/6/1,0.745
2016/7/1,0.7602
2016/8/1,0.7516
2016/9/1,0.7657
2016/10/1,0.7606
2016/11/1,0.7381
2016/12/1,0.7206
2017/1/1,0.7584
2017/2/1,0.7655
2017/3/1,0.7631
2017/4/1,0.7484
2017/5/1,0.743
2017/6/1,0.7686
2017/7/1,0.7998
2017/8/1,0.7944
2017/9/1,0.7835
2017/10/1,0.7653
2017/11/1,0.7564
2017/12/1,0.7801
2018/1/1,0.8055
2018/2/1,0.7761
2018/3/1,0.7681
2018/4/1,0.7527
2018/5/1,0.7565
2018/6/1,0.7404
2018/7/1,0.7427
2018/8/1,0.7189
2018/9/1,0.7219
2018/10/1,0.7073
2018/11/1,0.7229
