dy,y
2007/4/1,107.71
2007/5/1,113.89
2007/6/1,115.61
2007/7/1,111.19
2007/8/1,109.66
2007/9/1,115.69
2007/10/1,122.42
2007/11/1,111.4
2007/12/1,115
2008/1/1,106.12
2008/2/1,105.53
2008/3/1,97.23
2008/4/1,103.09
2008/5/1,106.11
2008/6/1,103.97
2008/7/1,105.31
2008/8/1,102.47
2008/9/1,99.7
2008/10/1,81.71
2008/11/1,77.25
2008/12/1,74.41
2009/1/1,73.24
2009/2/1,76.71
2009/3/1,78.53
2009/4/1,82.65
2009/5/1,87.27
2009/6/1,82.88
2009/7/1,87.82
2009/8/1,85.12
2009/9/1,83.86
2009/10/1,83.24
2009/11/1,81.72
2009/12/1,88.39
2010/1/1,84.4
2010/2/1,84.55
2010/3/1,92.01
2010/4/1,92.47
2010/5/1,87.35
2010/6/1,83.1
2010/7/1,83.99
2010/8/1,78.97
2010/9/1,81.17
2010/10/1,78.89
2010/11/1,81.49
2010/12/1,81.4
2011/1/1,81.85
2011/2/1,84.11
2011/3/1,85.67
2011/4/1,85.65
2011/5/1,84.11
2011/6/1,83.6
2011/7/1,80.58
2011/8/1,78.36
2011/9/1,73.58
2011/10/1,78.1
2011/11/1,76.18
2011/12/1,75.43
2012/1/1,76.08
2012/2/1,81.95
2012/3/1,83.04
2012/4/1,80.83
2012/5/1,75.85
2012/6/1,78.51
2012/7/1,77.84
2012/8/1,79.44
2012/9/1,79.3
2012/10/1,79.8
2012/11/1,82.92
2012/12/1,86.72
2013/1/1,91.57
2013/2/1,89.76
2013/3/1,92.59
2013/4/1,96.68
2013/5/1,96.8
2013/6/1,94.27
2013/7/1,95.24
2013/8/1,93.15
2013/9/1,95.29
2013/10/1,94.25
2013/11/1,96.45
2013/12/1,98.91
2014/1/1,91.64
2014/2/1,92.04
2014/3/1,93.38
2014/4/1,93.25
2014/5/1,93.8
2014/6/1,94.94
2014/7/1,94.24
2014/8/1,95.67
2014/9/1,97.91
2014/10/1,99.71
2014/11/1,103.86
2014/12/1,103.27
2015/1/1,92.39
2015/2/1,95.74
2015/3/1,94.69
2015/4/1,98.85
2015/5/1,99.75
2015/6/1,97.97
2015/7/1,94.65
2015/8/1,92.23
2015/9/1,90.05
2015/10/1,92.25
2015/11/1,92.11
2015/12/1,86.9
2016/1/1,86.59
2016/2/1,83.15
2016/3/1,86.55
2016/4/1,84.73
2016/5/1,84.55
2016/6/1,79.81
2016/7/1,78.23
2016/8/1,78.9
2016/9/1,77.29
2016/10/1,78.15
2016/11/1,85.16
2016/12/1,87
2017/1/1,86.55
2017/2/1,84.74
2017/3/1,83.61
2017/4/1,81.59
2017/5/1,82.01
2017/6/1,86.69
2017/7/1,88.33
2017/8/1,88.06
2017/9/1,90.1
2017/10/1,88.14
2017/11/1,87.23
2017/12/1,89.58
2018/1/1,88.65
2018/2/1,83.1
2018/3/1,82.4
2018/4/1,85.1
2018/5/1,83.98
2018/6/1,84.27
2018/7/1,85.96
2018/8/1,85.13
2018/9/1,87.99
2018/10/1,85.83
2018/11/1,85.31
