dy,y
2007/4/1,1.3648
2007/5/1,1.3453
2007/6/1,1.3535
2007/7/1,1.3683
2007/8/1,1.3624
2007/9/1,1.4259
2007/10/1,1.4479
2007/11/1,1.463
2007/12/1,1.463
2008/1/1,1.4861
2008/2/1,1.5183
2008/3/1,1.5787
2008/4/1,1.5623
2008/5/1,1.5558
2008/6/1,1.5755
2008/7/1,1.5602
2008/8/1,1.467
2008/9/1,1.4093
2008/10/1,1.2743
2008/11/1,1.2701
2008/12/1,1.3973
2009/1/1,1.2805
2009/2/1,1.2677
2009/3/1,1.3251
2009/4/1,1.3232
2009/5/1,1.4139
2009/6/1,1.4028
2009/7/1,1.4251
2009/8/1,1.4337
2009/9/1,1.4635
2009/10/1,1.4714
2009/11/1,1.5003
2009/12/1,1.4368
2010/1/1,1.386
2010/2/1,1.3619
2010/3/1,1.3509
2010/4/1,1.3309
2010/5/1,1.2303
2010/6/1,1.2229
2010/7/1,1.3028
2010/8/1,1.2681
2010/9/1,1.3632
2010/10/1,1.3915
2010/11/1,1.2982
2010/12/1,1.3392
2011/1/1,1.3688
2011/2/1,1.3802
2011/3/1,1.4154
2011/4/1,1.4811
2011/5/1,1.4393
2011/6/1,1.4499
2011/7/1,1.4363
2011/8/1,1.4374
2011/9/1,1.3396
2011/10/1,1.3856
2011/11/1,1.3441
2011/12/1,1.2945
2012/1/1,1.3079
2012/2/1,1.3324
2012/3/1,1.3342
2012/4/1,1.3235
2012/5/1,1.236
2012/6/1,1.2654
2012/7/1,1.2302
2012/8/1,1.2575
2012/9/1,1.2845
2012/10/1,1.2956
2012/11/1,1.2985
2012/12/1,1.3217
2013/1/1,1.3572
2013/2/1,1.3054
2013/3/1,1.2823
2013/4/1,1.3164
2013/5/1,1.2995
2013/6/1,1.3012
2013/7/1,1.3299
2013/8/1,1.3216
2013/9/1,1.3523
2013/10/1,1.3581
2013/11/1,1.3589
2013/12/1,1.3775
2014/1/1,1.3487
2014/2/1,1.3798
2014/3/1,1.3769
2014/4/1,1.3865
2014/5/1,1.3628
2014/6/1,1.369
2014/7/1,1.3387
2014/8/1,1.3133
2014/9/1,1.2629
2014/10/1,1.2523
2014/11/1,1.2443
2014/12/1,1.2098
2015/1/1,1.1279
2015/2/1,1.1194
2015/3/1,1.0733
2015/4/1,1.1219
2015/5/1,1.0989
2015/6/1,1.1134
2015/7/1,1.0983
2015/8/1,1.121
2015/9/1,1.1175
2015/10/1,1.0995
2015/11/1,1.0562
2015/12/1,1.0863
2016/1/1,1.0832
2016/2/1,1.0871
2016/3/1,1.1377
2016/4/1,1.1449
2016/5/1,1.113
2016/6/1,1.1103
2016/7/1,1.1175
2016/8/1,1.1155
2016/9/1,1.124
2016/10/1,1.0979
2016/11/1,1.0587
2016/12/1,1.0518
2017/1/1,1.0796
2017/2/1,1.0576
2017/3/1,1.0655
2017/4/1,1.0899
2017/5/1,1.1241
2017/6/1,1.142
2017/7/1,1.1839
2017/8/1,1.1906
2017/9/1,1.1815
2017/10/1,1.1643
2017/11/1,1.1902
2017/12/1,1.1993
2018/1/1,1.2411
2018/2/1,1.2191
2018/3/1,1.2319
2018/4/1,1.2081
2018/5/1,1.1692
2018/6/1,1.1681
2018/7/1,1.1687
2018/8/1,1.1606
2018/9/1,1.1602
2018/10/1,1.1312
2018/11/1,1.1332
