dy,y
2007/4/1,88.43
2007/5/1,89.66
2007/6/1,94.92
2007/7/1,90.4
2007/8/1,81.28
2007/9/1,87.04
2007/10/1,89.03
2007/11/1,84.7
2007/12/1,87.11
2008/1/1,83.84
2008/2/1,83.06
2008/3/1,78.35
2008/4/1,81.23
2008/5/1,82.59
2008/6/1,80.96
2008/7/1,79.24
2008/8/1,76.17
2008/9/1,71.08
2008/10/1,57.35
2008/11/1,52.49
2008/12/1,52.15
2009/1/1,45.63
2009/2/1,48.89
2009/3/1,55.37
2009/4/1,55.75
2009/5/1,61
2009/6/1,62.2
2009/7/1,62.6
2009/8/1,63.76
2009/9/1,64.78
2009/10/1,64.54
2009/11/1,61.76
2009/12/1,67.4
2010/1/1,63.32
2010/2/1,61.96
2010/3/1,66.33
2010/4/1,68.26
2010/5/1,62.05
2010/6/1,60.51
2010/7/1,62.65
2010/8/1,58.83
2010/9/1,61.26
2010/10/1,61.3
2010/11/1,62.08
2010/12/1,63.06
2011/1/1,63.34
2011/2/1,61.51
2011/3/1,63.3
2011/4/1,65.57
2011/5/1,67.13
2011/6/1,66.72
2011/7/1,67.65
2011/8/1,65.44
2011/9/1,58.76
2011/10/1,63.02
2011/11/1,60.5
2011/12/1,59.73
2012/1/1,63
2012/2/1,67.69
2012/3/1,67.8
2012/4/1,65.27
2012/5/1,58.94
2012/6/1,63.86
2012/7/1,63.18
2012/8/1,62.84
2012/9/1,64.65
2012/10/1,65.59
2012/11/1,67.57
2012/12/1,71.04
2013/1/1,76.69
2013/2/1,76.32
2013/3/1,78.82
2013/4/1,83.41
2013/5/1,79.76
2013/6/1,76.74
2013/7/1,78.14
2013/8/1,75.85
2013/9/1,81.56
2013/10/1,81.22
2013/11/1,83.27
2013/12/1,86.55
2014/1/1,82.44
2014/2/1,85.4
2014/3/1,89.52
2014/4/1,88.04
2014/5/1,86.44
2014/6/1,88.71
2014/7/1,87.35
2014/8/1,87
2014/9/1,85.56
2014/10/1,87.48
2014/11/1,93.11
2014/12/1,93.4
2015/1/1,85.21
2015/2/1,90.44
2015/3/1,89.74
2015/4/1,90.89
2015/5/1,88.12
2015/6/1,82.83
2015/7/1,81.7
2015/8/1,76.83
2015/9/1,76.71
2015/10/1,81.62
2015/11/1,80.99
2015/12/1,82.16
2016/1/1,78.45
2016/2/1,74.23
2016/3/1,77.74
2016/4/1,74.25
2016/5/1,74.87
2016/6/1,73.61
2016/7/1,73.63
2016/8/1,74.95
2016/9/1,73.84
2016/10/1,74.91
2016/11/1,81.01
2016/12/1,81.08
2017/1/1,82.45
2017/2/1,81.05
2017/3/1,78.07
2017/4/1,76.45
2017/5/1,78.42
2017/6/1,82.38
2017/7/1,82.81
2017/8/1,78.88
2017/9/1,81.15
2017/10/1,77.74
2017/11/1,76.85
2017/12/1,79.83
2018/1/1,80.37
2018/2/1,76.85
2018/3/1,76.9
2018/4/1,76.86
2018/5/1,76.12
2018/6/1,75.04
2018/7/1,76.21
2018/8/1,73.53
2018/9/1,75.25
2018/10/1,73.57
2018/11/1,76.53
