dy,y
2007/4/1,0.7405
2007/5/1,0.7368
2007/6/1,0.7726
2007/7/1,0.7624
2007/8/1,0.7018
2007/9/1,0.7579
2007/10/1,0.7734
2007/11/1,0.7643
2007/12/1,0.7661
2008/1/1,0.7876
2008/2/1,0.7988
2008/3/1,0.7861
2008/4/1,0.7823
2008/5/1,0.7835
2008/6/1,0.7621
2008/7/1,0.7343
2008/8/1,0.6999
2008/9/1,0.6698
2008/10/1,0.5822
2008/11/1,0.5493
2008/12/1,0.5743
2009/1/1,0.5079
2009/2/1,0.501
2009/3/1,0.5593
2009/4/1,0.5649
2009/5/1,0.6407
2009/6/1,0.6451
2009/7/1,0.6621
2009/8/1,0.6853
2009/9/1,0.722
2009/10/1,0.7173
2009/11/1,0.7153
2009/12/1,0.7269
2010/1/1,0.7019
2010/2/1,0.6987
2010/3/1,0.7101
2010/4/1,0.7267
2010/5/1,0.6804
2010/6/1,0.6843
2010/7/1,0.7255
2010/8/1,0.699
2010/9/1,0.7335
2010/10/1,0.7619
2010/11/1,0.7428
2010/12/1,0.776
2011/1/1,0.7718
2011/2/1,0.7518
2011/3/1,0.7609
2011/4/1,0.8091
2011/5/1,0.8233
2011/6/1,0.8285
2011/7/1,0.8785
2011/8/1,0.8538
2011/9/1,0.7619
2011/10/1,0.8065
2011/11/1,0.7807
2011/12/1,0.7766
2012/1/1,0.8259
2012/2/1,0.8343
2012/3/1,0.8187
2012/4/1,0.8182
2012/5/1,0.7527
2012/6/1,0.8001
2012/7/1,0.8085
2012/8/1,0.8032
2012/9/1,0.8297
2012/10/1,0.8223
2012/11/1,0.8198
2012/12/1,0.8229
2013/1/1,0.8396
2013/2/1,0.8247
2013/3/1,0.8369
2013/4/1,0.8563
2013/5/1,0.7946
2013/6/1,0.7741
2013/7/1,0.7982
2013/8/1,0.7726
2013/9/1,0.8304
2013/10/1,0.8259
2013/11/1,0.8131
2013/12/1,0.8224
2014/1/1,0.808
2014/2/1,0.8386
2014/3/1,0.8674
2014/4/1,0.8615
2014/5/1,0.8493
2014/6/1,0.8755
2014/7/1,0.8499
2014/8/1,0.8361
2014/9/1,0.7807
2014/10/1,0.7789
2014/11/1,0.7847
2014/12/1,0.7794
2015/1/1,0.7252
2015/2/1,0.756
2015/3/1,0.7473
2015/4/1,0.7611
2015/5/1,0.7101
2015/6/1,0.6763
2015/7/1,0.6595
2015/8/1,0.6339
2015/9/1,0.6393
2015/10/1,0.6767
2015/11/1,0.658
2015/12/1,0.6836
2016/1/1,0.6479
2016/2/1,0.6589
2016/3/1,0.6907
2016/4/1,0.698
2016/5/1,0.6762
2016/6/1,0.7134
2016/7/1,0.7214
2016/8/1,0.7249
2016/9/1,0.7282
2016/10/1,0.7148
2016/11/1,0.708
2016/12/1,0.6932
2017/1/1,0.731
2017/2/1,0.7191
2017/3/1,0.7011
2017/4/1,0.6859
2017/5/1,0.7082
2017/6/1,0.7327
2017/7/1,0.7508
2017/8/1,0.7173
2017/9/1,0.7216
2017/10/1,0.6844
2017/11/1,0.6831
2017/12/1,0.7087
2018/1/1,0.7363
2018/2/1,0.7206
2018/3/1,0.7235
2018/4/1,0.7032
2018/5/1,0.6996
2018/6/1,0.6779
2018/7/1,0.6814
2018/8/1,0.6619
2018/9/1,0.662
2018/10/1,0.6513
2018/11/1,0.6778
