title,normal,critical
北海道,41,138,179
青森県,4,37,41
岩手県,7,45,52
宮城県,13,68,81
秋田県,7,26,33
山形県,6,36,42
福島県,5,44,49
茨城県,9,59,68
栃木県,13,52,65
群馬県,16,43,59
埼玉県,31,105,136
千葉県,22,72,94
東京都,423,855,1,278
神奈川県,53,194,247
新潟県,16,97,113
富山県,15,44,59
石川県,15,40,55
福井県,3,24,27
山梨県,1,13,14
長野県,14,67,81
中部,140,438,578
岐阜県,22,51,73
静岡県,35,83,118
愛知県,73,263,336
三重県,10,41,51
滋賀県,8,24,32
京都府,22,61,83
大阪府,101,303,404
兵庫県,34,109,143
奈良県,5,16,21
和歌山県,2,13,15
中国,54,206,260
鳥取県,1,13,14
島根県,4,15,19
岡山県,17,51,68
広島県,27,91,118
山口県,5,36,41
四国,18,96,114
徳島県,2,9,11
香川県,4,26,30
愛媛県,9,46,55
高知県,3,15,18
福岡県,33,117,150
佐賀県,4,14,18
長崎県,7,23,30
熊本県,9,37,46
大分県,1,25,26
宮崎県,4,24,28
鹿児島県,9,21,30
沖縄県,4,27,31
